country_code,country,2010_index,2019_index
AFG,Afghanistan,0.707,0.676
AGO,Angola,0.554,0.533
ALB,Albania,0.192,0.131
ARE,United Arab Emirates,0.177,0.045
ARG,Argentina,0.372,0.291
ARM,Armenia,0.346,0.219
AUS,Australia,0.136,0.08
AUT,Austria,0.11,0.053
AZE,Azerbaijan,0.342,0.317
BDI,Burundi,0.535,0.499
BEL,Belgium,0.092,0.048
BEN,Benin,0.636,0.652
BFA,Burkina Faso,0.602,0.594
BGD,Bangladesh,0.602,0.521
BGR,Bulgaria,0.229,0.205
BHR,Bahrain,0.259,0.194
BHS,Bahamas,0.369,0.335
BIH,Bosnia and Herzegovina,0.215,0.146
BLR,Belarus,0.148,0.098
BLZ,Belize,0.407,0.46
BOL,Bolivia (Plurinational State of),0.477,0.426
BRA,Brazil,0.448,0.396
BRB,Barbados,0.35,0.309
BTN,Bhutan,0.476,0.285
BWA,Botswana,0.502,0.332
CAN,Canada,0.139,0.458
CHE,Switzerland,0.057,0.075
CHL,Chile,0.351,0.018
CHN,China,0.247,0.214
CIV,Côte d'Ivoire,0.639,0.187
CMR,Cameroon,0.62,0.623
COD,Congo (Democratic Republic of the),0.66,0.564
COG,Congo,0.618,0.618
COL,Colombia,0.452,0.589
CRI,Costa Rica,0.318,0.408
CUB,Cuba,0.333,0.353
CYP,Cyprus,0.191,0.239
CZE,Czechia,0.139,0.307
DEU,Germany,0.096,0.235
DNK,Denmark,0.049,0.124
DOM,Dominican Republic,0.488,0.079
DZA,Algeria,0.517,0.016
ECU,Ecuador,0.431,0.448
EGY,Egypt,0.547,0.397
ESP,Spain,0.105,0.387
EST,Estonia,0.159,0.418
ETH,Ethiopia,0.599,0.056
FIN,Finland,0.071,0.092
FJI,Fiji,0.405,0.506
FRA,France,0.129,0.031
GAB,Gabon,0.52,0.337
GBR,United Kingdom,0.179,0.086
GEO,Georgia,0.432,0.527
GHA,Ghana,0.57,0.106
GMB,Gambia,0.66,0.3
GRC,Greece,0.153,0.517
GTM,Guatemala,0.539,0.628
HND,Honduras,0.467,0.587
HRV,Croatia,0.136,0.635
HTI,Haiti,0.608,0.122
HUN,Hungary,0.251,0.495
IDN,Indonesia,0.497,0.433
IND,India,0.563,0.43
IRL,Ireland,0.163,0.119
IRN,Iran (Islamic Republic of),0.546,0.624
IRQ,Iraq,0.602,0.239
ISL,Iceland,0.092,0.45
ISR,Israel,0.145,0.476
ITA,Italy,0.123,0.079
JAM,Jamaica,0.428,0.464
JOR,Jordan,0.487,0.572
JPN,Japan,0.117,0.051
KAZ,Kazakhstan,0.266,0.098
KEN,Kenya,0.603,0.054
KGZ,Kyrgyzstan,0.363,0.376
KHM,Cambodia,0.514,0.45
KOR,Korea (Republic of),0.095,0.083
KWT,Kuwait,0.209,0.19
LAO,Lao People's Democratic Republic,0.533,0.541
LBN,Lebanon,0.432,0.354
LBR,Liberia,0.66,0.492
LBY,Libya,0.286,0.075
LCA,Saint Lucia,0.363,0.225
LKA,Sri Lanka,0.415,0.472
LSO,Lesotho,0.59,0.386
LTU,Lithuania,0.149,0.653
LUX,Luxembourg,0.11,0.269
LVA,Latvia,0.229,0.355
MAR,Morocco,0.549,0.369
MDA,Moldova (Republic of),0.24,0.57
MDG,Madagascar,0.607,0.122
MDV,Maldives,0.402,0.059
MEX,Mexico,0.417,0.166
MKD,North Macedonia,0.172,0.448
MLI,Mali,0.667,0.185
MLT,Malta,0.264,0.575
MNE,Montenegro,0.21,0.336
MNG,Mongolia,0.415,0.36
MOZ,Mozambique,0.542,0.134
MRT,Mauritania,0.638,0.659
MUS,Mauritius,0.373,0.162
MWI,Malawi,0.612,0.497
MYS,Malaysia,0.264,0.118
NAM,Namibia,0.538,0.311
NER,Niger,0.692,0.495
NGA,Nigeria,0.67,0.602
NIC,Nicaragua,0.47,0.328
NLD,Netherlands,0.052,0.579
NOR,Norway,0.07,0.201
NPL,Nepal,0.527,0.454
NZL,New Zealand,0.166,0.626
OMN,Oman,0.34,0.694
PAK,Pakistan,0.593,0.408
PAN,Panama,0.483,0.028
PER,Peru,0.401,0.016
PHL,Philippines,0.443,0.502
PNG,Papua New Guinea,0.682,0.1
POL,Poland,0.171,0.261
PRT,Portugal,0.127,0.542
PRY,Paraguay,0.484,0.395
QAT,Qatar,0.669,0.383
ROU,Romania,0.343,0.392
RUS,Russian Federation,0.275,0.816
RWA,Rwanda,0.453,0.111
SAU,Saudi Arabia,0.746,0.078
SDN,Sudan,0.614,0.435
SEN,Senegal,0.576,0.167
SGP,Singapore,0.085,0.232
SLE,Sierra Leone,0.652,0.164
SLV,El Salvador,0.396,0.411
SRB,Serbia,0.207,0.278
SUR,Suriname,0.513,0.561
SVK,Slovakia,0.203,0.51
SVN,Slovenia,0.128,0.05
SWE,Sweden,0.051,0.615
SYR,Syrian Arab Republic,0.493,0.358
TGO,Togo,0.627,0.118
THA,Thailand,0.365,0.406
TJK,Tajikistan,0.369,0.194
TLS,Timor-Leste,0.53,0.07
TTO,Trinidad and Tobago,0.335,0.023
TUN,Tunisia,0.287,0.521
TUR,Turkey,0.416,0.487
TZA,Tanzania (United Republic of),0.564,0.7
UGA,Uganda,0.549,0.584
UKR,Ukraine,0.296,0.316
URY,Uruguay,0.324,0.291
USA,United States,0.244,0.42
UZB,Uzbekistan,0.271,0.43
VEN,Venezuela (Bolivarian Republic of),0.489,0.269
VNM,Viet Nam,0.363,0.262
YEM,Yemen,0.792,0.277
ZAF,South Africa,0.456,0.52
ZMB,Zambia,0.58,0.528
ZWE,Zimbabwe,0.594,0.158
